%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2208,401196,45.83490155,-110.934335,2311.8775,1,8,0.0067,0.0063,0.013,-0.0013,0.0062,-0.0017,-4,41
2208,401196.2,45.83490166,-110.934335,2311.8863,1,8,0.0066,0.0062,0.0127,-0.0013,0.006,-0.0017,-3.8,40.4
2208,401196.4,45.83490172,-110.934335,2311.8941,1,8,0.0065,0.0061,0.0125,-0.0012,0.0059,-0.0017,-3.6,39.7
2208,401196.6,45.8349018,-110.934335,2311.9005,1,8,0.0064,0.006,0.0123,-0.0011,0.0058,-0.0016,-3.4,39.1
2208,401196.8,45.83490184,-110.934335,2311.9067,1,8,0.0063,0.0059,0.0121,-0.001,0.0057,-0.0016,-3.2,38.5
2208,401197,45.83490187,-110.9343349,2311.9123,1,8,0.0062,0.0058,0.0119,-0.0009,0.0056,-0.0016,-3,37.9
2208,401197.2,45.83490187,-110.9343348,2311.9074,1,8,0.0062,0.0057,0.0117,-0.0007,0.0055,-0.0016,-2.8,37.3
2208,401197.4,45.83490191,-110.9343348,2311.9045,1,8,0.0061,0.0056,0.0115,-0.0006,0.0054,-0.0016,-2.6,36.7
2208,401197.6,45.83490191,-110.9343347,2311.9037,1,8,0.006,0.0055,0.0114,-0.0004,0.0053,-0.0016,-2.4,36.1
2208,401197.8,45.83490191,-110.9343346,2311.9004,1,8,0.006,0.0054,0.0112,-0.0002,0.0052,-0.0016,-2.2,35.5
2208,401198,45.8349019,-110.9343345,2311.9008,1,8,0.0059,0.0054,0.0111,0.0003,0.0051,-0.0016,-2,34.9
2208,401198.2,45.8349019,-110.9343344,2311.9045,1,8,0.0058,0.0053,0.0109,0.0005,0.005,-0.0015,-1.8,34.3
2208,401198.4,45.83490188,-110.9343344,2311.9047,1,8,0.0058,0.0052,0.0108,0.0006,0.005,-0.0015,-1.6,33.7
2208,401198.6,45.83490188,-110.9343344,2311.9052,1,8,0.0057,0.0052,0.0107,0.0007,0.0049,-0.0015,-1.4,33.1
2208,401198.8,45.83490189,-110.9343345,2311.9066,1,8,0.0057,0.0051,0.0106,0.0007,0.0048,-0.0015,-1.2,32.5
2208,401199,45.83490184,-110.9343346,2311.9038,1,8,0.0057,0.0051,0.0105,0.0008,0.0048,-0.0015,-1,31.9
2208,401199.2,45.83490174,-110.9343347,2311.9018,1,8,0.0056,0.0051,0.0105,0.0008,0.0048,-0.0015,-0.8,31.3
2208,401199.4,45.83490168,-110.9343347,2311.9041,1,8,0.0056,0.005,0.0104,0.0009,0.0047,-0.0015,-0.6,30.7
2208,401199.6,45.83490162,-110.9343349,2311.9062,1,8,0.0056,0.005,0.0104,0.0009,0.0047,-0.0015,-0.4,30.1
2208,401199.8,45.83490159,-110.934335,2311.8989,1,8,0.0056,0.005,0.0104,0.0009,0.0047,-0.0015,-0.2,29.5
2208,401200,45.83490157,-110.9343352,2311.8922,1,8,0.0056,0.005,0.0105,0.0009,0.0048,-0.0015,0,28.9
2208,401200.2,45.83490145,-110.9343354,2311.8819,1,8,0.0071,0.0068,0.0139,-0.0017,0.0067,-0.0018,-4.8,28.3
2208,401200.4,45.8349015,-110.9343355,2311.878,1,8,0.007,0.0066,0.0137,-0.0016,0.0066,-0.0018,-4.6,27.7
2208,401200.6,45.83490154,-110.9343356,2311.8754,1,8,0.0069,0.0065,0.0134,-0.0015,0.0064,-0.0017,-4.4,27
2208,401200.8,45.83490152,-110.9343356,2311.8715,1,8,0.0068,0.0064,0.0132,-0.0014,0.0063,-0.0017,-4.2,26.4
2208,401201,45.83490147,-110.9343356,2311.8698,1,8,0.0067,0.0063,0.013,-0.0013,0.0062,-0.0017,-4,25.7
2208,401201.2,45.83490135,-110.9343357,2311.8695,1,8,0.0066,0.0062,0.0127,-0.0012,0.006,-0.0017,-3.8,25.1
2208,401201.4,45.8349012,-110.9343358,2311.8709,1,8,0.0065,0.0061,0.0125,-0.0012,0.0059,-0.0017,-3.6,24.4
2208,401201.6,45.8349011,-110.9343359,2311.8712,1,8,0.0064,0.006,0.0123,-0.0011,0.0058,-0.0016,-3.4,23.8
2208,401201.8,45.83490094,-110.9343361,2311.8727,1,8,0.0063,0.0059,0.0121,-0.001,0.0057,-0.0016,-3.2,23.1
2208,401202,45.83490041,-110.9343371,2311.9134,1,8,0.0062,0.0058,0.0119,-0.0008,0.0056,-0.0016,-3,22.5
2208,401202.2,45.83489922,-110.9343392,2312.0083,1,8,0.0062,0.0057,0.0117,-0.0007,0.0055,-0.0016,-2.8,21.9
2208,401202.4,45.83489719,-110.9343426,2312.1703,1,8,0.0061,0.0056,0.0115,-0.0006,0.0054,-0.0016,-2.6,21.2
2208,401202.6,45.83489452,-110.9343473,2312.3965,1,8,0.006,0.0055,0.0114,-0.0004,0.0053,-0.0016,-2.4,20.6
2208,401202.8,45.83489112,-110.9343534,2312.6854,1,8,0.006,0.0054,0.0112,-0.0002,0.0052,-0.0016,-2.2,19.9
2208,401203,45.83488725,-110.9343605,2313.029,1,8,0.0059,0.0054,0.0111,0.0003,0.0051,-0.0015,-2,19.3
2208,401203.2,45.83488317,-110.9343677,2313.3939,1,8,0.0058,0.0053,0.0109,0.0005,0.005,-0.0015,-1.8,18.6
2208,401203.4,45.83487919,-110.9343748,2313.7537,1,8,0.0058,0.0052,0.0108,0.0006,0.005,-0.0015,-1.6,18
2208,401203.6,45.83487545,-110.9343817,2314.1093,1,8,0.0057,0.0052,0.0107,0.0007,0.0049,-0.0015,-1.4,17.3
2208,401203.8,45.83487186,-110.9343884,2314.4682,1,8,0.0057,0.0051,0.0106,0.0007,0.0049,-0.0015,-1.2,16.7
2208,401204,45.83486841,-110.9343946,2314.8269,1,8,0.0057,0.0051,0.0105,0.0008,0.0048,-0.0015,-1,16
2208,401204.2,45.83486505,-110.9344007,2315.1808,1,8,0.0056,0.0051,0.0105,0.0008,0.0048,-0.0015,-0.8,15.3
2208,401204.4,45.83486187,-110.9344066,2315.5412,1,8,0.0056,0.005,0.0104,0.0009,0.0047,-0.0015,-0.6,14.7
