%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2208,399470.8,45.83509033,-110.9326879,2314.4909,1,6,0.0149,0.0066,0.0224,0.0046,0.0076,0.0148,-4.2,527.1
2208,399471,45.83509013,-110.9326878,2314.488,1,6,0.0147,0.0065,0.022,0.0045,0.0075,0.0145,-4,526.5
2208,399471.2,45.83509004,-110.9326877,2314.4906,1,6,0.0144,0.0064,0.0217,0.0044,0.0073,0.0143,-3.8,526
2208,399471.4,45.83508995,-110.9326877,2314.4864,1,6,0.0142,0.0062,0.0213,0.0043,0.0072,0.0141,-3.6,525.8
2208,399471.6,45.83508992,-110.9326877,2314.4932,1,6,0.0139,0.0061,0.021,0.0042,0.007,0.0138,-3.4,525.7
2208,399471.8,45.83508982,-110.9326877,2314.5014,1,6,0.0137,0.006,0.0206,0.0041,0.0069,0.0136,-3.2,525.9
2208,399472,45.83508967,-110.9326878,2314.5098,1,6,0.0135,0.0059,0.0203,0.004,0.0067,0.0134,-3,525.6
2208,399472.2,45.83508949,-110.9326878,2314.5113,1,6,0.0133,0.0058,0.02,0.0039,0.0066,0.0132,-2.8,525.5
2208,399472.4,45.83508938,-110.9326878,2314.5108,1,6,0.0131,0.0057,0.0197,0.0039,0.0065,0.013,-2.6,525.5
2208,399472.6,45.83508931,-110.9326877,2314.5062,1,6,0.0129,0.0056,0.0194,0.0038,0.0063,0.0128,-2.4,525.5
2208,399472.8,45.83508923,-110.9326877,2314.5065,1,6,0.0127,0.0055,0.0191,0.0037,0.0062,0.0126,-2.2,525.6
2208,399473,45.83508919,-110.9326877,2314.508,1,6,0.0125,0.0055,0.0188,0.0037,0.0061,0.0125,-2,525.8
2208,399473.2,45.83508909,-110.9326878,2314.5047,1,6,0.0124,0.0054,0.0186,0.0036,0.006,0.0123,-1.8,525.8
2208,399473.4,45.83508912,-110.9326879,2314.5257,1,6,0.0122,0.0053,0.0184,0.0036,0.0059,0.0121,-1.6,526.2
2208,399473.6,45.83508918,-110.932688,2314.5302,1,6,0.0121,0.0053,0.0182,0.0035,0.0058,0.012,-1.4,526.1
2208,399473.8,45.8350892,-110.932688,2314.5166,1,6,0.012,0.0052,0.018,0.0035,0.0058,0.0119,-1.2,526.3
2208,399474,45.83508944,-110.9326879,2314.5213,1,6,0.0119,0.0052,0.0179,0.0034,0.0057,0.0118,-1,526.6
2208,399474.2,45.8350896,-110.9326878,2314.5209,1,6,0.0118,0.0051,0.0178,0.0034,0.0057,0.0117,-0.8,526.6
2208,399474.4,45.83508976,-110.9326877,2314.521,1,6,0.0118,0.0051,0.0177,0.0034,0.0056,0.0117,-0.6,526.4
2208,399474.6,45.83508992,-110.9326877,2314.516,1,6,0.0118,0.0051,0.0177,0.0034,0.0056,0.0117,-0.4,526.4
2208,399474.8,45.83509008,-110.9326878,2314.516,1,6,0.0117,0.0051,0.0176,0.0034,0.0056,0.0116,-0.2,526.5
2208,399475,45.83509026,-110.9326878,2314.5288,1,6,0.0119,0.0051,0.018,0.0035,0.0057,0.0119,0,526.9
2208,399475.2,45.83509028,-110.9326881,2314.5404,1,6,0.0157,0.007,0.0236,0.0049,0.0082,0.0156,-4.8,526.8
2208,399475.4,45.83509025,-110.9326882,2314.5426,1,6,0.0155,0.0069,0.0232,0.0048,0.008,0.0153,-4.6,526.3
2208,399475.6,45.83509018,-110.9326883,2314.5469,1,6,0.0152,0.0068,0.0228,0.0047,0.0078,0.0151,-4.4,525.7
2208,399475.8,45.83509006,-110.9326883,2314.5495,1,6,0.0149,0.0066,0.0224,0.0046,0.0077,0.0148,-4.2,524.9
2208,399476,45.83509002,-110.9326883,2314.555,1,6,0.0147,0.0065,0.0221,0.0045,0.0075,0.0146,-4,524.4
2208,399476.2,45.83508997,-110.9326882,2314.5485,1,6,0.0144,0.0064,0.0217,0.0044,0.0073,0.0143,-3.8,523.6
2208,399476.4,45.83509,-110.932688,2314.5557,1,6,0.0142,0.0063,0.0213,0.0043,0.0072,0.0141,-3.6,523
2208,399476.6,45.83508995,-110.9326879,2314.5551,1,6,0.014,0.0061,0.021,0.0042,0.007,0.0139,-3.4,522.6
2208,399476.8,45.83508992,-110.9326877,2314.546,1,6,0.0137,0.006,0.0206,0.0041,0.0069,0.0136,-3.2,522.3
2208,399477,45.83508998,-110.9326875,2314.5435,1,6,0.0135,0.0059,0.0203,0.004,0.0067,0.0134,-3,522.2
2208,399477.2,45.83508996,-110.9326872,2314.5456,1,6,0.0133,0.0058,0.02,0.004,0.0066,0.0132,-2.8,521.9
2208,399477.4,45.83508992,-110.932687,2314.5637,1,6,0.0131,0.0057,0.0197,0.0039,0.0065,0.013,-2.6,521.5
2208,399477.6,45.83508992,-110.9326869,2314.5662,1,6,0.0129,0.0056,0.0194,0.0038,0.0064,0.0128,-2.4,521.4
2208,399477.8,45.83509027,-110.9326871,2314.5029,1,6,0.0127,0.0055,0.0191,0.0038,0.0062,0.0126,-2.2,521.4
2208,399478,45.83509117,-110.9326876,2314.3725,1,6,0.0126,0.0055,0.0189,0.0037,0.0061,0.0125,-2,521.7
2208,399478.2,45.83509272,-110.9326888,2314.1494,1,6,0.0124,0.0054,0.0186,0.0036,0.006,0.0123,-1.8,521.6
2208,399478.4,45.83509506,-110.9326908,2313.8274,1,6,0.0123,0.0053,0.0184,0.0036,0.0059,0.0122,-1.6,522
2208,399478.6,45.8350982,-110.9326935,2313.4219,1,6,0.0121,0.0053,0.0182,0.0035,0.0059,0.012,-1.4,522.5
2208,399478.8,45.83510195,-110.9326969,2312.9556,1,6,0.012,0.0052,0.018,0.0035,0.0058,0.0119,-1.2,522.7
2208,399479,45.83510608,-110.9327008,2312.4541,1,6,0.0119,0.0052,0.0179,0.0035,0.0057,0.0118,-1,522.8
2208,399479.2,45.83511032,-110.9327049,2311.9465,1,6,0.0118,0.0051,0.0178,0.0034,0.0057,0.0117,-0.8,523.2
2208,399479.4,45.83511447,-110.9327089,2311.4247,1,6,0.0118,0.0051,0.0177,0.0034,0.0057,0.0117,-0.6,523.5
2208,399479.6,45.83511848,-110.9327129,2310.9042,1,6,0.0118,0.0051,0.0177,0.0034,0.0056,0.0117,-0.4,523.5
2208,399479.8,45.83512243,-110.9327166,2310.4056,1,6,0.0117,0.0051,0.0176,0.0034,0.0056,0.0116,-0.2,523.4
2208,399480,45.83512612,-110.9327203,2309.8886,1,6,0.0119,0.0051,0.018,0.0035,0.0058,0.0119,0,523.3
2208,399480.2,45.83512957,-110.932724,2309.3658,1,6,0.0157,0.007,0.0236,0.0049,0.0082,0.0156,-4.8,523.5
2208,399480.4,45.83513308,-110.9327275,2308.866,1,6,0.0155,0.0069,0.0232,0.0048,0.008,0.0153,-4.6,523.2
2208,399480.6,45.83513644,-110.9327311,2308.3356,1,6,0.0152,0.0068,0.0228,0.0047,0.0078,0.0151,-4.4,522.3
2208,399480.8,45.83513991,-110.9327347,2307.8209,1,6,0.0149,0.0066,0.0225,0.0046,0.0077,0.0148,-4.2,521.8
2208,399481,45.83514344,-110.9327382,2307.3134,1,6,0.0147,0.0065,0.0221,0.0045,0.0075,0.0146,-4,521.5
2208,399481.2,45.83514695,-110.9327418,2306.8089,1,6,0.0144,0.0064,0.0217,0.0044,0.0074,0.0143,-3.8,521.1
2208,399481.4,45.83515035,-110.9327455,2306.2909,1,6,0.0142,0.0063,0.0214,0.0043,0.0072,0.0141,-3.6,520.6
2208,399481.6,45.83515393,-110.932749,2305.7858,1,6,0.014,0.0061,0.021,0.0042,0.007,0.0139,-3.4,520.6
2208,399481.8,45.8351576,-110.9327527,2305.2803,1,6,0.0137,0.006,0.0207,0.0041,0.0069,0.0137,-3.2,520.5
2208,399482,45.83516125,-110.9327565,2304.7747,1,6,0.0135,0.0059,0.0203,0.0041,0.0068,0.0134,-3,520.2
2208,399482.2,45.83516488,-110.9327602,2304.2657,1,6,0.0133,0.0058,0.02,0.004,0.0066,0.0132,-2.8,519.8
2208,399482.4,45.83516847,-110.9327639,2303.76,1,6,0.0131,0.0057,0.0197,0.0039,0.0065,0.013,-2.6,519.6
2208,399482.6,45.83517214,-110.9327676,2303.2528,1,6,0.0129,0.0056,0.0194,0.0038,0.0064,0.0128,-2.4,519.9
