%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2208,402307.2,45.83596743,-110.9327558,2299.0055,1,9,0.0061,0.0055,0.0116,0.0023,0.0051,0.0035,-2.8,55.4
2208,402307.4,45.83595996,-110.9327508,2299.0056,1,9,0.0059,0.005,0.0108,0.0027,0.0043,0.004,-2.6,54.9
2208,402307.6,45.83595274,-110.9327459,2298.9959,1,9,0.0058,0.005,0.0106,0.0027,0.0042,0.0039,-2.4,54.4
2208,402307.8,45.83594583,-110.932741,2298.9856,1,9,0.0057,0.0049,0.0105,0.0027,0.0042,0.0038,-2.2,53.8
2208,402308,45.83593906,-110.9327364,2298.9788,1,9,0.0057,0.0049,0.0103,0.0026,0.0041,0.0037,-2,53.3
2208,402308.2,45.83593237,-110.9327318,2298.9707,1,9,0.0056,0.0048,0.0102,0.0026,0.0041,0.0036,-1.8,52.7
2208,402308.4,45.83592588,-110.9327275,2298.9669,1,9,0.0055,0.0048,0.0101,0.0026,0.004,0.0035,-1.6,52.2
2208,402308.6,45.83591948,-110.9327234,2298.965,1,9,0.0055,0.0048,0.01,0.0025,0.004,0.0034,-1.4,51.6
2208,402308.8,45.83591299,-110.9327194,2298.9623,1,9,0.0054,0.0047,0.0099,0.0025,0.004,0.0033,-1.2,51.1
2208,402309,45.83590652,-110.9327154,2298.9652,1,9,0.0054,0.0047,0.0099,0.0025,0.004,0.0032,-1,50.5
2208,402309.2,45.83590006,-110.9327113,2298.9632,1,9,0.0054,0.0047,0.0098,0.0025,0.004,0.0032,-0.8,50
2208,402309.4,45.83589365,-110.9327072,2298.9591,1,9,0.0054,0.0047,0.0098,0.0024,0.004,0.0031,-0.6,49.4
2208,402309.6,45.83588722,-110.9327031,2298.957,1,9,0.0054,0.0047,0.0098,0.0024,0.004,0.003,-0.4,48.9
2208,402309.8,45.83588086,-110.9326988,2298.9539,1,9,0.0054,0.0047,0.0099,0.0024,0.0041,0.003,-0.2,48.3
2208,402310,45.83587443,-110.9326945,2298.9474,1,9,0.0054,0.0049,0.0103,0.0023,0.0044,0.0028,0,47.8
2208,402310.2,45.83586794,-110.9326902,2298.9448,1,9,0.0071,0.0064,0.0139,0.0027,0.0062,0.0048,-4.8,47.2
2208,402310.4,45.83586152,-110.9326859,2298.9403,1,9,0.007,0.0063,0.0137,0.0026,0.0061,0.0047,-4.6,46.7
2208,402310.6,45.83585515,-110.9326815,2298.9425,1,9,0.0069,0.0062,0.0134,0.0026,0.006,0.0045,-4.4,46.1
2208,402310.8,45.83584863,-110.9326772,2298.9306,1,9,0.0068,0.0061,0.0132,0.0025,0.0059,0.0044,-4.2,45.5
2208,402311,45.83584208,-110.9326728,2298.9312,1,9,0.0067,0.006,0.0129,0.0025,0.0058,0.0042,-4,44.9
2208,402311.2,45.83583554,-110.9326684,2298.9359,1,9,0.0065,0.0059,0.0127,0.0024,0.0057,0.0041,-3.8,44.4
2208,402311.4,45.83582902,-110.932664,2298.9273,1,9,0.0064,0.0058,0.0125,0.0024,0.0056,0.0039,-3.6,43.8
2208,402311.6,45.83582253,-110.9326597,2298.9285,1,9,0.0063,0.0057,0.0123,0.0024,0.0055,0.0038,-3.4,43.2
2208,402311.8,45.83581597,-110.9326554,2298.9211,1,9,0.0063,0.0056,0.0121,0.0023,0.0054,0.0037,-3.2,42.7
2208,402312,45.83580941,-110.932651,2298.9235,1,9,0.0062,0.0056,0.0119,0.0023,0.0053,0.0035,-3,42.1
2208,402312.2,45.8358029,-110.9326467,2298.9261,1,9,0.0061,0.0055,0.0117,0.0023,0.0052,0.0034,-2.8,41.5
2208,402312.4,45.83579635,-110.9326423,2298.9189,1,9,0.006,0.0054,0.0115,0.0023,0.0051,0.0033,-2.6,41
2208,402312.6,45.8357899,-110.9326379,2298.9188,1,9,0.0059,0.0053,0.0114,0.0022,0.005,0.0032,-2.4,40.4
2208,402312.8,45.83578343,-110.9326334,2298.9133,1,9,0.0058,0.0053,0.0112,0.0022,0.005,0.0031,-2.2,39.9
2208,402313,45.83577694,-110.932629,2298.9184,1,9,0.0058,0.0052,0.0111,0.0022,0.0049,0.003,-2,39.3
2208,402313.2,45.83577043,-110.9326245,2298.919,1,9,0.0057,0.0051,0.0109,0.0022,0.0048,0.0029,-1.8,38.7
2208,402313.4,45.83576396,-110.9326201,2298.9221,1,9,0.0055,0.0048,0.01,0.0026,0.0039,0.0035,-1.6,38.4
2208,402313.6,45.83575752,-110.9326156,2298.9286,1,9,0.0055,0.0047,0.0099,0.0026,0.0039,0.0035,-1.4,37.8
2208,402313.8,45.835751,-110.9326112,2298.9241,1,9,0.0054,0.0047,0.0098,0.0026,0.0038,0.0034,-1.2,37.2
2208,402314,45.83574437,-110.9326068,2298.9319,1,9,0.0054,0.0047,0.0097,0.0026,0.0038,0.0033,-1,36.6
2208,402314.2,45.8357377,-110.9326024,2298.9272,1,9,0.0054,0.0046,0.0097,0.0025,0.0038,0.0033,-0.8,36.1
2208,402314.4,45.83573102,-110.9325981,2298.9251,1,9,0.0053,0.0046,0.0096,0.0025,0.0038,0.0033,-0.6,35.5
2208,402314.6,45.8357245,-110.9325938,2298.933,1,9,0.0053,0.0046,0.0096,0.0025,0.0038,0.0032,-0.4,34.9
2208,402314.8,45.835718,-110.9325895,2298.9278,1,9,0.0053,0.0046,0.0096,0.0025,0.0038,0.0032,-0.2,34.4
2208,402315,45.8357115,-110.9325853,2298.9263,1,9,0.0053,0.0046,0.0097,0.0025,0.0038,0.0033,0,33.8
2208,402315.2,45.83570489,-110.9325811,2298.9153,1,9,0.007,0.0058,0.0129,0.0033,0.005,0.0055,-4.8,33.2
2208,402315.4,45.83569838,-110.9325767,2298.9117,1,9,0.0068,0.0057,0.0127,0.0032,0.0049,0.0054,-4.6,32.6
2208,402315.6,45.83569199,-110.9325724,2298.906,1,9,0.0067,0.0057,0.0125,0.0032,0.0049,0.0052,-4.4,32
2208,402315.8,45.83568553,-110.932568,2298.8998,1,9,0.0066,0.0056,0.0123,0.0031,0.0048,0.0051,-4.2,31.5
2208,402316,45.83567894,-110.9325636,2298.8915,1,9,0.0067,0.006,0.0129,0.0025,0.0058,0.0042,-4,30.7
2208,402316.2,45.83567239,-110.9325592,2298.8943,1,9,0.0065,0.0059,0.0126,0.0025,0.0056,0.0041,-3.8,30.1
2208,402316.4,45.83566585,-110.9325548,2298.8841,1,9,0.0063,0.0053,0.0116,0.003,0.0045,0.0047,-3.6,29.7
2208,402316.6,45.83565943,-110.9325505,2298.8859,1,9,0.0062,0.0053,0.0114,0.0029,0.0045,0.0045,-3.4,29.1
2208,402316.8,45.835653,-110.9325461,2298.8913,1,9,0.0061,0.0052,0.0112,0.0029,0.0044,0.0044,-3.2,28.5
2208,402317,45.83564647,-110.9325418,2298.8842,1,9,0.006,0.0051,0.011,0.0028,0.0043,0.0043,-3,28
2208,402317.2,45.83563992,-110.9325374,2298.8834,1,9,0.0059,0.0051,0.0109,0.0028,0.0043,0.0041,-2.8,27.4
2208,402317.4,45.83563332,-110.9325332,2298.8778,1,9,0.0059,0.005,0.0107,0.0028,0.0042,0.004,-2.6,26.8
2208,402317.6,45.83562681,-110.9325289,2298.8802,1,9,0.0058,0.005,0.0105,0.0027,0.0041,0.0039,-2.4,26.2
2208,402317.8,45.83562024,-110.9325245,2298.8868,1,9,0.0057,0.0049,0.0104,0.0027,0.0041,0.0038,-2.2,25.7
2208,402318,45.8356137,-110.9325201,2298.8911,1,9,0.0056,0.0049,0.0103,0.0027,0.004,0.0037,-2,25.1
2208,402318.2,45.83560722,-110.9325156,2298.8902,1,9,0.0056,0.0048,0.0101,0.0026,0.004,0.0036,-1.8,24.5
2208,402318.4,45.83560082,-110.9325111,2298.8901,1,9,0.0055,0.0048,0.01,0.0026,0.0039,0.0035,-1.6,23.9
2208,402318.6,45.83559441,-110.9325066,2298.8988,1,9,0.0055,0.0047,0.0099,0.0026,0.0039,0.0035,-1.4,23.3
2208,402318.8,45.835588,-110.9325023,2298.9006,1,9,0.0054,0.0047,0.0098,0.0026,0.0038,0.0034,-1.2,22.7
2208,402319,45.83558146,-110.932498,2298.9034,1,9,0.0054,0.0047,0.0097,0.0026,0.0038,0.0033,-1,22.1
2208,402319.2,45.83557489,-110.9324937,2298.9058,1,9,0.0054,0.0046,0.0097,0.0025,0.0038,0.0033,-0.8,21.5
2208,402319.4,45.83556823,-110.9324895,2298.9038,1,9,0.0053,0.0046,0.0096,0.0025,0.0038,0.0033,-0.6,21
2208,402319.6,45.83556163,-110.9324853,2298.9067,1,9,0.0053,0.0046,0.0096,0.0025,0.0038,0.0032,-0.4,20.4
2208,402319.8,45.83555508,-110.9324811,2298.9019,1,9,0.0053,0.0046,0.0096,0.0025,0.0038,0.0032,-0.2,19.8
2208,402320,45.83554851,-110.9324768,2298.9028,1,9,0.0053,0.0046,0.0097,0.0025,0.0038,0.0033,0,19.2
2208,402320.2,45.83554193,-110.9324726,2298.9093,1,9,0.007,0.0058,0.0129,0.0033,0.005,0.0055,-4.8,18.6
2208,402320.4,45.83553547,-110.9324683,2298.9088,1,9,0.0068,0.0057,0.0127,0.0032,0.0049,0.0054,-4.6,18
2208,402320.6,45.83552905,-110.932464,2298.9101,1,9,0.0067,0.0057,0.0125,0.0032,0.0049,0.0052,-4.4,17.4
2208,402320.8,45.8355226,-110.9324597,2298.9096,1,9,0.0066,0.0056,0.0122,0.0031,0.0048,0.0051,-4.2,16.8
2208,402321,45.83551607,-110.9324554,2298.9125,1,9,0.0065,0.0055,0.012,0.0031,0.0047,0.0049,-4,16.2
2208,402321.2,45.83550949,-110.9324511,2298.9099,1,9,0.0064,0.0054,0.0118,0.003,0.0046,0.0048,-3.8,15.6
2208,402321.4,45.83550294,-110.9324467,2298.9031,1,9,0.0063,0.0053,0.0116,0.003,0.0045,0.0047,-3.6,15
2208,402321.6,45.83549643,-110.9324423,2298.9121,1,9,0.0062,0.0053,0.0114,0.0029,0.0045,0.0045,-3.4,14.4
2208,402321.8,45.83548988,-110.932438,2298.908,1,9,0.0061,0.0052,0.0112,0.0029,0.0044,0.0044,-3.2,13.8
2208,402322,45.83548336,-110.9324336,2298.906,1,9,0.006,0.0051,0.011,0.0028,0.0043,0.0043,-3,13.2
2208,402322.2,45.83547687,-110.9324293,2298.9094,1,9,0.0059,0.0051,0.0109,0.0028,0.0043,0.0041,-2.8,12.6
2208,402322.4,45.83547033,-110.9324249,2298.9062,1,9,0.0059,0.005,0.0107,0.0028,0.0042,0.004,-2.6,12
2208,402322.6,45.83546383,-110.9324206,2298.9064,1,9,0.0058,0.005,0.0105,0.0027,0.0041,0.0039,-2.4,11.4
2208,402322.8,45.8354573,-110.9324162,2298.9174,1,9,0.0057,0.0049,0.0104,0.0027,0.0041,0.0038,-2.2,10.7
2208,402323,45.83545076,-110.9324118,2298.9195,1,9,0.0056,0.0049,0.0103,0.0027,0.004,0.0037,-2,10.1
2208,402323.2,45.8354442,-110.9324074,2298.9227,1,9,0.0056,0.0048,0.0101,0.0026,0.004,0.0036,-1.8,9.5
2208,402323.4,45.83543768,-110.932403,2298.9219,1,9,0.0055,0.0048,0.01,0.0026,0.0039,0.0035,-1.6,8.9
2208,402323.6,45.83543121,-110.9323986,2298.923,1,9,0.0055,0.0047,0.0099,0.0026,0.0039,0.0035,-1.4,8.3
2208,402323.8,45.83542475,-110.9323943,2298.9238,1,9,0.0054,0.0047,0.0098,0.0026,0.0038,0.0034,-1.2,7.7
2208,402324,45.83541821,-110.9323899,2298.92,1,9,0.0054,0.0047,0.0098,0.0026,0.0038,0.0033,-1,7.1
2208,402324.2,45.83541175,-110.9323855,2298.9248,1,9,0.0054,0.0046,0.0097,0.0025,0.0038,0.0033,-0.8,6.5
2208,402324.4,45.8354052,-110.9323811,2298.9243,1,9,0.0053,0.0046,0.0096,0.0025,0.0038,0.0033,-0.6,5.9
2208,402324.6,45.83539873,-110.9323767,2298.929,1,9,0.0053,0.0046,0.0096,0.0025,0.0038,0.0032,-0.4,5.3
2208,402324.8,45.83539225,-110.9323722,2298.9264,1,9,0.0053,0.0046,0.0096,0.0025,0.0038,0.0032,-0.2,4.7
2208,402325,45.83538571,-110.9323677,2298.9217,1,9,0.0053,0.0046,0.0097,0.0025,0.0038,0.0033,0,4.1
2208,402325.2,45.83537909,-110.9323632,2298.9249,1,9,0.007,0.0058,0.0129,0.0033,0.005,0.0055,-4.8,3.5
2208,402325.4,45.83537258,-110.9323587,2298.9394,1,9,0.0069,0.0058,0.0128,0.0032,0.005,0.0053,-4.6,347.7
2208,402325.6,45.8353661,-110.9323542,2298.9363,1,9,0.0067,0.0057,0.0125,0.0031,0.0049,0.0052,-4.4,347.6
2208,402325.8,45.83535962,-110.9323498,2298.9368,1,9,0.0066,0.0056,0.0123,0.0031,0.0049,0.005,-4.2,347.5
2208,402326,45.83535311,-110.9323455,2298.9347,1,9,0.0065,0.0055,0.0121,0.003,0.0048,0.0049,-4,347.3
2208,402326.2,45.83534665,-110.932341,2298.9405,1,9,0.0064,0.0055,0.0119,0.003,0.0047,0.0048,-3.8,347.2
2208,402326.4,45.83534018,-110.9323367,2298.9334,1,9,0.0063,0.0054,0.0117,0.0029,0.0046,0.0046,-3.6,347
2208,402326.6,45.8353337,-110.9323323,2298.937,1,9,0.0062,0.0053,0.0115,0.0029,0.0045,0.0045,-3.4,346.7
2208,402326.8,45.8353271,-110.932328,2298.9401,1,9,0.0061,0.0052,0.0113,0.0028,0.0045,0.0044,-3.2,346.5
2208,402327,45.83532044,-110.9323238,2298.9301,1,9,0.006,0.0052,0.0111,0.0028,0.0044,0.0042,-3,346.1
2208,402327.2,45.83531383,-110.9323196,2298.9316,1,9,0.006,0.0051,0.0109,0.0028,0.0043,0.0041,-2.8,345.8
2208,402327.4,45.83530725,-110.9323153,2298.9158,1,9,0.0059,0.005,0.0108,0.0027,0.0043,0.004,-2.6,345.8
2208,402327.6,45.83530107,-110.9323113,2298.9179,1,9,0.0058,0.005,0.0106,0.0027,0.0042,0.0039,-2.4,345.7
2208,402327.8,45.83529562,-110.9323078,2298.9005,1,9,0.0057,0.0049,0.0105,0.0027,0.0042,0.0038,-2.2,345.6
2208,402328,45.83529115,-110.932305,2298.897,1,9,0.0057,0.0049,0.0103,0.0026,0.0041,0.0037,-2,345.6
2208,402328.2,45.83528755,-110.9323033,2298.8989,1,9,0.0056,0.0044,0.0101,0.0028,0.0037,0.0037,-1.8,25.8
2208,402328.4,45.83528456,-110.9323033,2298.8902,1,9,0.0055,0.0044,0.01,0.0027,0.0036,0.0036,-1.6,25
2208,402328.6,45.83528206,-110.932305,2298.8808,1,9,0.0055,0.0044,0.0098,0.0027,0.0035,0.0035,-1.4,3.1
2208,402328.8,45.83527991,-110.9323086,2298.8903,1,9,0.0054,0.0043,0.0098,0.0027,0.0036,0.0034,-1.2,23.3
2208,402329,45.83527812,-110.9323139,2298.8822,1,9,0.0054,0.0043,0.0097,0.0027,0.0035,0.0034,-1,22.5
2208,402329.2,45.83527636,-110.932321,2298.8766,1,9,0.0054,0.0043,0.0097,0.0027,0.0035,0.0033,-0.8,21.6
2208,402329.4,45.83527425,-110.9323295,2298.8739,1,9,0.0053,0.0043,0.0096,0.0026,0.0035,0.0033,-0.6,20.8
2208,402329.6,45.83527171,-110.9323392,2298.886,1,9,0.0053,0.0043,0.0096,0.0026,0.0035,0.0033,-0.4,20
2208,402329.8,45.83526872,-110.9323497,2298.8938,1,9,0.0053,0.0043,0.0096,0.0026,0.0035,0.0033,-0.2,19.2
2208,402330,45.83526549,-110.9323602,2298.8942,1,9,0.0053,0.0043,0.0097,0.0027,0.0035,0.0033,0,18.3
2208,402330.2,45.835262,-110.9323705,2298.8879,1,9,0.007,0.0055,0.013,0.0034,0.0049,0.0055,-4.8,17.4
