%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2185,328440.8,45.8328056,-110.9376656,2555.354,1,7,0.0282,0.0211,0.0518,-0.0125,0.022,-0.0225,-29.2,999.9
2185,328441,45.83280805,-110.9376648,2555.1236,1,8,0.0252,0.021,0.0485,-0.0126,0.022,-0.017,-29,999.9
2185,328441.2,45.83281093,-110.9376631,2554.8306,1,8,0.0251,0.0209,0.0482,-0.0126,0.0219,-0.0169,-28.8,999.9
2185,328441.4,45.83281418,-110.9376602,2554.4699,1,8,0.0249,0.0207,0.0479,-0.0125,0.0218,-0.0168,-28.6,999.9
2185,328441.6,45.83281767,-110.937656,2554.0645,1,8,0.0248,0.0206,0.0476,-0.0124,0.0216,-0.0167,-28.4,999.9
2185,328441.8,45.83282116,-110.9376509,2553.6439,1,8,0.0246,0.0205,0.0473,-0.0123,0.0215,-0.0166,-28.2,999.9
2185,328442,45.83282459,-110.9376452,2553.2117,1,8,0.0245,0.0204,0.047,-0.0123,0.0214,-0.0165,-28,999.9
2185,328442.2,45.83282787,-110.9376394,2552.7871,1,8,0.0243,0.0202,0.0467,-0.0122,0.0212,-0.0164,-27.8,999.9
2185,328442.4,45.83283097,-110.9376336,2552.3576,1,8,0.0242,0.0201,0.0464,-0.0121,0.0211,-0.0163,-27.6,999.9
2185,328442.6,45.832834,-110.9376278,2551.9239,1,8,0.024,0.02,0.0461,-0.012,0.0209,-0.0162,-27.4,999.9
2185,328442.8,45.83283694,-110.9376219,2551.4924,1,8,0.0239,0.0198,0.0458,-0.0119,0.0208,-0.0161,-27.2,999.9
2185,328443,45.83283987,-110.9376161,2551.0587,1,8,0.0237,0.0197,0.0455,-0.0119,0.0207,-0.016,-27,999.9
2185,328443.2,45.83284283,-110.9376102,2550.6202,1,8,0.0236,0.0196,0.0452,-0.0118,0.0205,-0.0159,-26.8,999.9
2185,328443.4,45.83284573,-110.9376045,2550.1874,1,8,0.0234,0.0194,0.0449,-0.0117,0.0204,-0.0158,-26.6,999.9
2185,328443.6,45.83284863,-110.9375987,2549.7485,1,8,0.0233,0.0193,0.0446,-0.0116,0.0203,-0.0157,-26.4,999.9
2185,328443.8,45.83285153,-110.937593,2549.3092,1,8,0.0231,0.0192,0.0443,-0.0116,0.0201,-0.0156,-26.2,999.9
2185,328444,45.83285443,-110.9375873,2548.8722,1,8,0.023,0.019,0.0441,-0.0115,0.02,-0.0155,-26,999.9
2185,328444.2,45.83285733,-110.9375816,2548.4444,1,8,0.0228,0.0189,0.0438,-0.0114,0.0199,-0.0154,-25.8,999.9
2185,328444.4,45.83286021,-110.9375759,2548.0159,1,8,0.0227,0.0188,0.0435,-0.0113,0.0197,-0.0153,-25.6,999.9
2185,328444.6,45.83286315,-110.9375702,2547.5885,1,8,0.0225,0.0187,0.0432,-0.0113,0.0196,-0.0152,-25.4,999.9
2185,328444.8,45.83286611,-110.9375644,2547.1691,1,8,0.0224,0.0185,0.0429,-0.0112,0.0194,-0.0151,-25.2,999.9
2185,328445,45.83286914,-110.9375587,2546.7487,1,8,0.0222,0.0184,0.0426,-0.0111,0.0193,-0.015,-25,999.9
2185,328445.2,45.83287213,-110.9375529,2546.3316,1,8,0.0221,0.0183,0.0423,-0.011,0.0192,-0.0149,-24.8,999.9
2185,328445.4,45.83287514,-110.9375471,2545.9168,1,8,0.0219,0.0181,0.042,-0.011,0.019,-0.0148,-24.6,999.9
2185,328445.6,45.83287819,-110.9375413,2545.4995,1,8,0.0218,0.018,0.0417,-0.0109,0.0189,-0.0147,-24.4,999.9
